title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share,labels,length
这场【全球审美大降级】属实给我整混乱了……,BV1fc41167r3,https://b23.tv/BV1fc41167r3,塑料叉FOKU,6170960,11768,6244,324646,54903,90163,15077,"['时尚', '仿妆cos', '美妆', '颜值', '时尚', '复古', '吐槽', '塑料叉', '分享', '影视', '审美', '变美']",428
朋友你们帮我看看问题到底出现在哪里？,BV1ju4y1j7jk,https://b23.tv/BV1ju4y1j7jk,口技小青年,5969833,11337,7991,415371,94854,86271,101560,"['给小动物注入灵魂', '动物圈', '汪星人', '汪星人', '动物观察局24.0 小动物变装派对！']",269
【硬件科普】从零开始认识主板,BV1xQ4y1b7JS,https://b23.tv/BV1xQ4y1b7JS,硬件茶谈,2158661,3008,2514,198848,130737,157701,11153,"['B站装机助手', '科技', '数码', '显卡', '电脑', 'DIY', '科普', '科技', '主板', '硬件', '电脑装机', '微星']",816
满足了甲方奇怪的癖好,BV1BC4y1j7dr,https://b23.tv/BV1BC4y1j7dr,逗比的雀巢,7417295,3590,3426,504985,73650,49678,12407,"['外星降临活着就行', '影视', '小剧场', '职场', '搞笑', '搞笑视频', '高能', '科技', '生活', '娱乐', '星球重启', '甲方', '“外星降临活着就行”星球重启创作激励计划']",180
从「孤苦少年」到「一代天子」！他凭什么？《史记》原文全解读【故事】03,BV12H4y1q7bx,https://b23.tv/BV12H4y1q7bx,木鱼水心,1775664,7170,2312,199215,146786,61594,3936,"['知识', '人文历史', '历史', '影视杂谈', '木鱼水心', '学习', '故事HISTORY', '史记', '司马迁', '舜', '禅让', '二十四史']",2168
章~鱼~哥~来~咯~,BV1Hw411K7Fx,https://b23.tv/BV1Hw411K7Fx,老番茄,3533113,11417,3422,276194,125062,79920,10641,"['整点电子榨菜', '游戏', '单机游戏', '章鱼哥', '派大星', '搞笑', '某行', '花少北', '老番茄', '海绵宝宝', '沙雕', '中国boy', '整点电子榨菜第七期']",602
当北方人第一次在南方过冬,BV1Gj411J76q,https://b23.tv/BV1Gj411J76q,粤知一二,5392089,8043,5375,386356,7383,27660,5322,"['搞笑新星训练营', '生活', '搞笑', '脱口秀', '搞笑', '广东', '栋笃笑', '郭嘉峰', '段子', '粤知一二', '搞笑研究所2023 7.0 万圣节来搞怪']",317
《绝区零》比利角色展示 | 骑士登场！,BV1tN4y1m7d5,https://b23.tv/BV1tN4y1m7d5,绝区零,3159944,6210,8698,336954,67644,56776,37631,"['游戏', '手机游戏', '手机游戏', 'PC', '游戏', '比利', '新游', '动作游戏', '米哈游', '降噪测试', '绝区零', '绝区零比利']",178
《原神》过场动画-「罪人的终幕」,BV1vu4y1b7Y9,https://b23.tv/BV1vu4y1b7Y9,原神,2654893,11302,10726,266416,177950,98431,24484,"['游戏', '手机游戏', '原神', '原神枫丹', '芙宁娜', '米哈游', 'miHoYo']",191
探秘中国国宴！开国第一宴！10道国宴菜！都吃什么？,BV1Dz4y1N7XT,https://b23.tv/BV1Dz4y1N7XT,HOLA小测佬,4855521,11321,3326,371026,79123,46734,9924,"['初冬时节·美食治愈季', '美食', '美食侦探', '试吃', '4K', '探店', '吃货', '开箱', '美食', '北京', '测评', '国宴']",502
第一次去拍网红写真 没想到要穿露背装 当场崩溃,BV1Rj411j7Fq,https://b23.tv/BV1Rj411j7Fq,假美食po主,2423501,9798,2920,113269,41722,13916,4870,"['今天也在好好生活', '生活', '日常', '上海', '穿搭', '摄影', '搞笑', '生活记录', '写真', '拍照', '记录', 'Vlog', '生活万花筒8.0 看见生活B面']",656
这十六分钟真的能讲完你那波澜壮阔的十年吗,BV12a4y1S7GR,https://b23.tv/BV12a4y1S7GR,一张照片LOL,3403088,9341,12318,227349,217458,100725,52352,"['やわらかな光 (YAWARAKANA HIKARI)', '英雄联盟S13', '游戏', '电子竞技', '英雄联盟', '电子竞技', 'Faker']",962
"""Cheems，你枪里装的是珍珠软糖吗？""",BV1dw411N7VG,https://b23.tv/BV1dw411N7VG,一大筐会飞的草莓,2033948,1395,1127,189752,31904,41439,7672,"['August', '一起来捣蛋噢', '鬼畜', '鬼畜剧场', '鬼畜剧场', '鬼畜', '搞笑', 'Cheems', '把益禾堂整疯', '郝哥']",92
3兄弟体验上海东北饺子馆菜量，被coco笑话冻死…,BV1CH4y127gA,https://b23.tv/BV1CH4y127gA,盗月社食遇记,2323786,6603,3741,138268,81746,17788,6461,"['初冬时节·美食治愈季', '美食', '美食侦探', '饺子', '火锅', '兄弟', '生活记录', '东北', '东北饺子', '东北酸菜']",820
红魔9Pro上手体验：教科书级游戏性能,BV14M411f7R7,https://b23.tv/BV14M411f7R7,极客湾Geekerwan,1742543,9010,7825,89301,13695,8085,13553,"['Uptown Getdown', '科技', '数码', '游戏手机', '红魔', '红魔9pro']",733
小伙用高智能AI生成的魔仙李云龙,BV11Q4y1t7mG,https://b23.tv/BV11Q4y1t7mG,主观哥哥,1204973,963,715,83970,6562,16926,9438,"['一起来捣蛋噢', '鬼畜', '鬼畜剧场', '巴啦啦小魔仙', '蔡徐坤', '社会摇', '游乐王子', '完颜慧德', '把益禾堂整疯', '玲珑', '三年动画', '华强买瓜']",108
《无期迷途》全新主线章节——「弱者」,BV1Wg4y1X7oi,https://b23.tv/BV1Wg4y1X7oi,无期迷途,1652349,1491,4082,50973,26461,11010,10696,"['游戏', '手机游戏', '主线', '无期迷途', '禁闭者', 'MBCC', '弱者']",138
百炼成金，四冠登神！Faker无需向众神祈祷，因为众神传颂的都是你的名号！LOL史上第一人再登巅峰！,BV18N4y1S7vP,https://b23.tv/BV18N4y1S7vP,裴一言,1642315,2238,4632,71272,46027,27506,5932,"['Legends Never Die', '英雄联盟S13', '游戏', '电子竞技', '英雄联盟', '电子竞技', '游戏', 'T1', 'Faker', 'Zeus', 'Theshy', 'WBG', 'S13总决赛']",335
最 强 的 矛,BV16N4y1m7bB,https://b23.tv/BV16N4y1m7bB,某幻君,3026047,2865,898,181341,22023,19811,892,"['白荆回廊终极测试', '游戏', '手机游戏', '古剑奇谭', '白荆回廊', '某幻']",1488
【英雄联盟】2024赛季玩法介绍,BV1sj411J7iS,https://b23.tv/BV1sj411J7iS,英雄联盟,1474582,5979,6096,61079,6548,6770,50741,"['英雄联盟S14', '游戏', '网络游戏', '英雄联盟', 'LOL', '英雄联盟2024赛季']",417
四喜丸子,BV14H4y1q7xq,https://b23.tv/BV14H4y1q7xq,八零徐姥姥,1199541,2249,878,125825,8749,4679,2438,"['爱的故事(上)', '生活', '三农', '美食', '生活记录', '记录']",332
生活中，我时常觉得自己有一些超能力,BV17u4y157Jv,https://b23.tv/BV17u4y157Jv,papi酱,2244059,1759,2155,207605,10152,5872,4727,"['生活', '搞笑', '娱乐', '生活记录', '段子']",113
薛定谔的胖铁盒,BV1yC4y1m7Ur,https://b23.tv/BV1yC4y1m7Ur,幾加乘,1069508,3241,1366,145614,44455,19995,14783,"['动物趣事榜', '动画', '短片·手书', '手书', '鬼畜', '搞笑', '脑洞', '猫', '原创动画']",316
【罗翔】张三弄虚作假却风生水起，做真好人真难！经验世界无法给人自洽，我们该怎么办？,BV1k94y1V7vV,https://b23.tv/BV1k94y1V7vV,罗翔说刑法,1502238,3196,3626,154216,30976,18610,6029,"['知识', '社科·法律·心理', '罗翔', '世界', '社会', '普法', '王阳明', '经验', '张三']",356
完美解决祖父悖论！究极烧脑的悬疑科幻《前目的地》,BV1mC4y1m7Cz,https://b23.tv/BV1mC4y1m7Cz,培根悖论唠唠嗑,1925054,7136,3412,75564,14328,40364,5771,"['让人惊艳的悬疑佳作', '影视', '影视杂谈', '科幻', '电影解说', '悬疑', '烧脑', '经典电影', '最强安利王3.0', '祖父悖论', '时空穿越']",2094
《掠影纷争》首曝PV | 向世界挥拳,BV1rv411F7QD,https://b23.tv/BV1rv411F7QD,掠影纷争,1654945,256,1003,16020,2773,4636,3651,"['游戏', '手机游戏', 'RPG', '手机游戏', '手游', '游戏', 'PV', '掠影纷争', '掠影纷争首曝', '首曝', '变身英雄', '角色扮演']",65
【BA】钢铁侠大战美国队长！谁才是对的？！万字解析《美国队长3：内战》！,BV1hN4y1m7JS,https://b23.tv/BV1hN4y1m7JS,BuriedAlien,1095007,17142,4353,66437,44405,22932,2226,"['人人都能聊影视', '影视', '影视杂谈', '黑寡妇', '美国队长', '钢铁侠', '复仇者联盟', '漫威', '托尼斯塔克', '最强安利王3.0', 'MCU', '美国队长3：内战', '美队3']",5236
大胆点，向前跑，我们的青春本该热烈。,BV1uz4y1A71h,https://b23.tv/BV1uz4y1A71h,大圆哥_,2287207,4614,2901,241873,89988,25549,8583,"['当', '生活', '搞笑', '高考', '校园', '生活记录']",686
